,predicted,ground_truth
0,crabeater,crabeater
1,crabeater,crabeater
2,crabeater,crabeater
3,crabeater,crabeater
4,crabeater,crabeater
5,crabeater,crabeater
6,crabeater,crabeater
7,crabeater,crabeater
0,crabeater,crabeater
1,crabeater,crabeater
2,crabeater,crabeater
3,crabeater,crabeater
4,crabeater,crabeater
5,crabeater,crabeater
6,crabeater,crabeater
7,crabeater,crabeater
0,crabeater,crabeater
1,crabeater,crabeater
2,crabeater,crabeater
3,crabeater,crabeater
4,crabeater,crabeater
5,crabeater,crabeater
6,pack-ice,crabeater
7,crabeater,crabeater
0,crabeater,crabeater
1,crabeater,crabeater
2,crabeater,crabeater
3,crabeater,crabeater
4,crabeater,crabeater
5,crabeater,crabeater
6,crabeater,crabeater
7,crabeater,crabeater
0,crabeater,crabeater
1,crabeater,crabeater
2,pack-ice,crabeater
3,crabeater,crabeater
4,crabeater,crabeater
5,crabeater,crabeater
6,crabeater,crabeater
7,crabeater,crabeater
0,pack-ice,crabeater
1,crabeater,crabeater
2,crabeater,crabeater
3,crabeater,crabeater
4,crabeater,crabeater
5,crabeater,crabeater
6,crabeater,crabeater
7,crabeater,crabeater
0,crabeater,crabeater
1,crabeater,crabeater
2,crabeater,crabeater
3,crabeater,crabeater
4,crabeater,crabeater
5,crabeater,crabeater
6,crabeater,crabeater
7,crabeater,crabeater
0,crabeater,crabeater
1,crabeater,crabeater
2,crabeater,crabeater
3,crabeater,crabeater
4,crabeater,crabeater
5,crabeater,crabeater
6,crabeater,crabeater
7,crabeater,crabeater
0,crabeater,crabeater
1,crabeater,crabeater
2,crabeater,crabeater
3,crabeater,crabeater
4,crabeater,crabeater
5,crabeater,crabeater
6,crabeater,crabeater
7,crabeater,crabeater
0,crabeater,crabeater
1,crabeater,crabeater
2,crabeater,crabeater
3,crabeater,crabeater
4,crabeater,crabeater
5,crabeater,crabeater
6,crabeater,crabeater
7,crabeater,crabeater
0,crabeater,crabeater
1,crabeater,crabeater
2,crabeater,crabeater
3,crabeater,crabeater
4,crabeater,crabeater
5,crabeater,crabeater
6,crabeater,crabeater
7,crabeater,crabeater
0,crabeater,crabeater
1,pack-ice,crabeater
2,crabeater,crabeater
3,crabeater,crabeater
4,crabeater,crabeater
5,crabeater,crabeater
6,crabeater,crabeater
7,crabeater,crabeater
0,crabeater,crabeater
1,crabeater,crabeater
2,crabeater,crabeater
3,crabeater,crabeater
4,crabeater,crabeater
5,crabeater,crabeater
6,crabeater,crabeater
7,crabeater,crabeater
0,pack-ice,crabeater
1,crabeater,crabeater
2,crabeater,crabeater
3,crabeater,crabeater
4,crabeater,crabeater
5,crabeater,crabeater
6,crabeater,crabeater
7,crabeater,crabeater
0,crabeater,crabeater
1,crabeater,crabeater
2,crabeater,crabeater
3,crabeater,crabeater
4,crabeater,crabeater
5,crabeater,crabeater
6,crabeater,crabeater
7,crabeater,crabeater
0,crabeater,crabeater
1,crabeater,crabeater
2,crabeater,crabeater
3,crabeater,crabeater
4,crabeater,crabeater
5,crabeater,crabeater
6,crabeater,crabeater
7,crabeater,crabeater
0,crabeater,crabeater
1,crabeater,crabeater
2,crabeater,crabeater
3,crabeater,crabeater
4,crabeater,crabeater
5,crabeater,crabeater
6,crabeater,crabeater
7,crabeater,crabeater
0,crabeater,crabeater
1,crabeater,crabeater
2,crabeater,crabeater
3,crabeater,crabeater
4,crabeater,crabeater
5,crabeater,crabeater
6,crabeater,crabeater
7,crabeater,crabeater
0,crabeater,crabeater
1,crabeater,crabeater
2,crabeater,crabeater
3,crabeater,crabeater
4,crabeater,crabeater
5,crabeater,crabeater
6,crabeater,crabeater
7,crabeater,crabeater
0,crabeater,crabeater
1,crabeater,crabeater
2,crabeater,crabeater
3,crabeater,crabeater
4,crabeater,crabeater
5,crabeater,crabeater
6,crabeater,crabeater
7,crabeater,crabeater
0,crabeater,crabeater
1,crabeater,crabeater
2,crabeater,crabeater
3,crabeater,crabeater
4,crabeater,crabeater
5,crabeater,crabeater
6,crabeater,crabeater
7,crabeater,crabeater
0,crabeater,crabeater
1,crabeater,crabeater
2,crabeater,crabeater
3,crabeater,crabeater
4,crabeater,crabeater
5,crabeater,crabeater
6,crabeater,crabeater
7,crabeater,crabeater
0,crabeater,crabeater
1,crabeater,crabeater
2,crabeater,crabeater
3,crabeater,crabeater
4,crabeater,crabeater
5,crabeater,crabeater
6,crabeater,crabeater
7,crabeater,crabeater
0,crabeater,crabeater
1,crabeater,crabeater
2,crabeater,crabeater
3,crabeater,crabeater
4,crabeater,crabeater
5,crabeater,crabeater
6,crabeater,crabeater
7,crabeater,crabeater
0,crabeater,crabeater
1,crabeater,crabeater
2,crabeater,crabeater
3,crabeater,crabeater
4,crabeater,crabeater
5,crabeater,crabeater
6,crabeater,crabeater
7,crabeater,crabeater
