,MSE,Unnamed: 0,X3,model_name,n_parameters,precision,recall,running_time,total_ground_truth,total_predicted
0,0.37335294099582894,1,,WideResnetCount_training_set_vanilla,368915,0.947933250194864,0.8869233328418492,3.2484877686667697,1082.0,1012.3614146224
0,3.97438927472179,1,,WideResnetCount_training_set_multiscale_A,368915,0.9558723307856859,0.262841948485794,3.18617971990264,1082.0,297.524030251894
0,4.23120093377982,1,,Resnet34count_training_set_vanilla,8174827,0.791180234001119,0.8450410913789309,7.46117649173896,2236.0,2388.21926929057
0,13.411906880515401,1,,Resnet34count_training_set_multiscale_A,8174827,0.7806516274592121,0.45697114014354995,8.10270874647545,2236.0,1308.89046204463
0,17.2693717146469,1,,Resnet18count_training_set_vanilla,2787307,0.5219442383900511,0.883089381165149,6.18558853416889,2236.0,3783.1394832059705
0,14.2248985216528,1,,Resnet18count_training_set_multiscale_A,2787307,0.8487010690308181,0.410246384491701,6.763140227838429,2236.0,1080.84100420773
0,3.04500242971394,1,,NasnetAcount_training_set_vanilla,858003,0.9608056525406159,0.764602294153087,9.31232839275481,2236.0,1779.39287222712
0,9.207080486370849,1,,NasnetAcount_training_set_multiscale_A,858003,0.733589006925682,0.65746362706728,9.2982529399789,2236.0,2003.9676934136103
0,26.2304358425234,1,3.0,Always-zero,0,0.0,0.0,0.0,2242.1855885341697,0.0
1,12.2654463607725,2,3.0,Always-mean,0,0.718347601538758,0.718347601538759,0.0,2242.1855885341697,2242.1855885341697
2,12.8085799571817,3,3.0,Always-median,0,0.7981282292121351,0.677428589875834,0.0,2242.1855885341697,1800.0
