,Unnamed: 0,precision,recall,label,balanced_accuracy,model_name,n_parameters,running_time
0,1,0.800350262697023,0.98068669527897,crabeater,0.7118423251533431,Resnet18_training_set_vanilla_NO,11182155,7.0831063410447594
1,2,0.8214285714285708,0.450980392156863,weddell,0.7118423251533431,Resnet18_training_set_vanilla_NO,11182155,7.0831063410447594
2,3,0.5391591096455071,0.9289772727272729,emperor,0.7118423251533431,Resnet18_training_set_vanilla_NO,11182155,7.0831063410447594
3,4,0.38650306748466295,0.508064516129032,marching-emperor,0.7118423251533431,Resnet18_training_set_vanilla_NO,11182155,7.0831063410447594
0,1,0.768,0.824034334763948,crabeater,0.7239591560952691,Resnet18_training_set_multiscale_A_NO,11182155,3.5749979751630003
1,2,0.271551724137931,0.617647058823529,weddell,0.7239591560952691,Resnet18_training_set_multiscale_A_NO,11182155,3.5749979751630003
2,3,0.936231884057971,0.45880681818181795,emperor,0.7239591560952691,Resnet18_training_set_multiscale_A_NO,11182155,3.5749979751630003
3,4,0.343283582089552,0.18548387096774202,marching-emperor,0.7239591560952691,Resnet18_training_set_multiscale_A_NO,11182155,3.5749979751630003
0,1,0.7399678972712679,0.9892703862660941,crabeater,0.7698831786385679,Resnet18_training_set_vanilla_WCV,11182155,3.61131372410137
1,2,0.29179331306990897,0.941176470588235,weddell,0.7698831786385679,Resnet18_training_set_vanilla_WCV,11182155,3.61131372410137
2,3,0.9926062846580409,0.7627840909090909,emperor,0.7698831786385679,Resnet18_training_set_vanilla_WCV,11182155,3.61131372410137
3,4,0.6,0.120967741935484,marching-emperor,0.7698831786385679,Resnet18_training_set_vanilla_WCV,11182155,3.61131372410137
0,1,0.645021645021645,0.9592274678111591,crabeater,0.787671102008123,Resnet18_training_set_multiscale_A_WCV,11182155,3.58273194193258
1,2,0.258258258258258,0.8431372549019609,weddell,0.787671102008123,Resnet18_training_set_multiscale_A_WCV,11182155,3.58273194193258
2,3,0.9093851132686078,0.798295454545455,emperor,0.787671102008123,Resnet18_training_set_multiscale_A_WCV,11182155,3.58273194193258
3,4,0.261146496815287,0.330645161290323,marching-emperor,0.787671102008123,Resnet18_training_set_multiscale_A_WCV,11182155,3.58273194193258
0,1,0.958333333333333,0.987124463519313,crabeater,0.900435635911328,NasnetA_training_set_vanilla_NO,12740771,35.9995362386892
1,2,0.831932773109244,0.970588235294118,weddell,0.900435635911328,NasnetA_training_set_vanilla_NO,12740771,35.9995362386892
2,3,0.9985272459499259,0.963068181818182,emperor,0.900435635911328,NasnetA_training_set_vanilla_NO,12740771,35.9995362386892
3,4,0.8760330578512401,0.854838709677419,marching-emperor,0.900435635911328,NasnetA_training_set_vanilla_NO,12740771,35.9995362386892
0,1,0.7091194968553459,0.9678111587982829,crabeater,0.9016785281127719,NasnetA_training_set_multiscale_A_NO,12740771,36.0652467079466
1,2,0.516666666666667,0.911764705882353,weddell,0.9016785281127719,NasnetA_training_set_multiscale_A_NO,12740771,36.0652467079466
2,3,0.9818780889621089,0.8465909090909091,emperor,0.9016785281127719,NasnetA_training_set_multiscale_A_NO,12740771,36.0652467079466
3,4,0.536723163841808,0.766129032258065,marching-emperor,0.9016785281127719,NasnetA_training_set_multiscale_A_NO,12740771,36.0652467079466
0,1,0.9494736842105259,0.9678111587982829,crabeater,0.899515960386288,NasnetA_training_set_vanilla_WCV,12740771,36.043453026699794
1,2,0.7674418604651159,0.970588235294118,weddell,0.899515960386288,NasnetA_training_set_vanilla_WCV,12740771,36.043453026699794
2,3,0.9880418535127059,0.938920454545455,emperor,0.899515960386288,NasnetA_training_set_vanilla_WCV,12740771,36.043453026699794
3,4,0.767605633802817,0.879032258064516,marching-emperor,0.899515960386288,NasnetA_training_set_vanilla_WCV,12740771,36.043453026699794
0,1,0.692585895117541,0.8218884120171671,crabeater,0.856851997505398,NasnetA_training_set_multiscale_A_WCV,12740771,36.02148572185371
1,2,0.262872628726287,0.9509803921568629,weddell,0.856851997505398,NasnetA_training_set_multiscale_A_WCV,12740771,36.02148572185371
2,3,0.945864661654135,0.8934659090909091,emperor,0.856851997505398,NasnetA_training_set_multiscale_A_WCV,12740771,36.02148572185371
3,4,0.4333333333333329,0.629032258064516,marching-emperor,0.856851997505398,NasnetA_training_set_multiscale_A_WCV,12740771,36.02148572185371
