,Unnamed: 0,precision,recall,balanced_accuracy,model_name
0,crabeater,0.942796610169492,0.9888888888888892,0.8538827122337129,model1
1,weddell,0.6884057971014489,0.9313725490196079,0.8538827122337129,model1
2,emperor,0.953846153846154,0.9051094890510949,0.8538827122337129,model1
3,marching-emperor,0.64,0.8,0.8538827122337129,model1
0,crabeater,0.8350785340314141,0.7088888888888891,0.8632115231433101,model2
1,weddell,0.625,0.686274509803922,0.8632115231433101,model2
2,emperor,0.9919093851132691,0.894890510948905,0.8632115231433101,model2
3,marching-emperor,0.552941176470588,0.783333333333333,0.8632115231433101,model2
0,crabeater,0.6924265842349301,0.995555555555556,0.822344063574183,model3
1,weddell,0.390804597701149,1.0,0.822344063574183,model3
2,emperor,0.976152623211447,0.8963503649635041,0.822344063574183,model3
3,marching-emperor,0.427860696517413,0.716666666666667,0.822344063574183,model3
0,crabeater,0.66865671641791,0.995555555555556,0.7307318110615791,model4
1,weddell,0.221354166666667,0.833333333333333,0.7307318110615791,model4
2,emperor,0.380515759312321,0.9693430656934309,0.7307318110615791,model4
3,marching-emperor,0.133064516129032,0.275,0.7307318110615791,model4
0,crabeater,0.950643776824034,0.984444444444444,0.927704036678374,model5
1,weddell,0.840336134453782,0.980392156862745,0.927704036678374,model5
2,emperor,0.978292329956585,0.986861313868613,0.927704036678374,model5
3,marching-emperor,0.695121951219512,0.95,0.927704036678374,model5
0,crabeater,0.7152,0.993333333333333,0.923887351838026,model6
1,weddell,0.601307189542484,0.901960784313726,0.923887351838026,model6
2,emperor,0.948324022346369,0.9912408759124092,0.923887351838026,model6
3,marching-emperor,0.668965517241379,0.808333333333333,0.923887351838026,model6
0,crabeater,0.7300813008130079,0.9977777777777779,0.89474029198781,model7
1,weddell,0.336666666666667,0.9901960784313729,0.89474029198781,model7
2,emperor,0.966810966810967,0.9781021897810219,0.89474029198781,model7
3,marching-emperor,0.7253521126760559,0.858333333333333,0.89474029198781,model7
0,crabeater,0.731147540983607,0.9911111111111109,0.8851960752833141,model8
1,weddell,0.237037037037037,0.941176470588235,0.8851960752833141,model8
2,emperor,0.9375907111756171,0.9430656934306569,0.8851960752833141,model8
3,marching-emperor,0.27065527065527106,0.791666666666667,0.8851960752833141,model8
