,Unnamed: 0,precision,recall,balanced_accuracy,model_name
0,crabeater,0.980349344978166,0.9977777777777779,0.935196972574823,model1
1,weddell,0.867256637168142,0.96078431372549,0.935196972574823,model1
2,emperor,0.984104046242775,0.994160583941606,0.935196972574823,model1
3,marching-emperor,0.848,0.883333333333333,0.935196972574823,model1
0,crabeater,0.8781512605042021,0.9288888888888891,0.9595408169011851,model2
1,weddell,0.833333333333333,0.980392156862745,0.9595408169011851,model2
2,emperor,0.9742489270386271,0.994160583941606,0.9595408169011851,model2
3,marching-emperor,0.541463414634146,0.925,0.9595408169011851,model2
0,crabeater,0.9574468085106379,1.0,0.952544901927004,model3
1,weddell,0.860869565217391,0.970588235294118,0.952544901927004,model3
2,emperor,0.9869565217391301,0.994160583941606,0.952544901927004,model3
3,marching-emperor,0.8214285714285708,0.958333333333333,0.952544901927004,model3
0,crabeater,0.7558922558922561,0.9977777777777779,0.951386536712732,model4
1,weddell,0.664429530201342,0.970588235294118,0.951386536712732,model4
2,emperor,0.9784791965566709,0.9956204379562041,0.951386536712732,model4
3,marching-emperor,0.762962962962963,0.858333333333333,0.951386536712732,model4
