,predicted,ground_truth
0,pack-ice,crack
1,ice-sheet,crack
2,glacier,crack
3,rock,crack
4,glacier,crack
5,crack,crack
6,crack,crack
7,glacier,crack
0,glacier,crack
1,crack,crack
2,weddell,crack
3,crack,crack
4,weddell,crack
5,ice-sheet,crack
6,crack,crack
7,weddell,crack
0,crack,crack
1,ice-sheet,crack
2,pack-ice,crack
3,glacier,crack
4,crack,crack
5,crack,crack
6,crack,crack
7,crack,crack
0,glacier,crack
1,emperor,crack
2,pack-ice,crack
3,rock,crack
4,crack,crack
5,crack,crack
6,crack,crack
7,crack,crack
0,crack,crack
1,weddell,crack
2,crack,crack
3,pack-ice,crack
4,glacier,crack
5,pack-ice,crack
6,glacier,crack
7,crack,crack
0,crack,crack
1,glacier,crack
2,glacier,crack
3,ice-sheet,crack
4,ice-sheet,crack
5,ice-sheet,crack
6,crack,crack
7,crack,crack
0,glacier,crack
1,ice-sheet,crack
2,glacier,crack
3,weddell,crack
4,crack,crack
5,glacier,crack
6,crack,crack
7,crack,crack
0,glacier,crack
1,marching-emperor,crack
2,rock,crack
3,glacier,crack
4,weddell,crack
5,emperor,crack
6,marching-emperor,crack
7,crack,crack
0,rock,crack
1,ice-sheet,crack
2,glacier,crack
3,pack-ice,crack
4,ice-sheet,crack
5,crack,crack
6,crack,crack
7,weddell,crack
0,rock,crack
1,crack,crack
2,crack,crack
3,marching-emperor,crack
4,ice-sheet,crack
5,glacier,crack
6,rock,crack
7,crack,crack
0,crack,crack
1,pack-ice,crack
2,crack,crack
3,rock,crack
4,crack,crack
5,crack,crack
6,crack,crack
7,crack,crack
0,ice-sheet,crack
1,crack,crack
2,glacier,crack
3,crack,crack
4,ice-sheet,crack
5,other,crack
6,crack,crack
7,crack,crack
0,crack,crack
1,ice-sheet,crack
2,marching-emperor,crack
3,crack,crack
4,crack,crack
5,pack-ice,crack
6,glacier,crack
7,glacier,crack
0,crack,crack
1,pack-ice,crack
2,glacier,crack
3,crack,crack
4,glacier,crack
5,crack,crack
6,crack,crack
7,pack-ice,crack
0,ice-sheet,crack
1,crack,crack
2,marching-emperor,crack
3,marching-emperor,crack
4,crack,crack
5,crack,crack
6,glacier,crack
7,glacier,crack
0,crack,crack
1,crack,crack
2,crack,crack
3,crack,crack
4,glacier,crack
5,pack-ice,crack
6,weddell,crack
7,glacier,crack
0,ice-sheet,crack
1,ice-sheet,crack
2,weddell,crack
3,crack,crack
4,ice-sheet,crack
5,ice-sheet,crack
6,marching-emperor,crack
7,glacier,crack
0,crack,crack
1,weddell,crack
2,crack,crack
3,marching-emperor,crack
4,crack,crack
5,crack,crack
6,crack,crack
7,crack,crack
0,rock,crack
1,emperor,crack
2,crack,crack
3,crack,crack
4,marching-emperor,crack
5,crack,crack
6,glacier,crack
7,weddell,crack
0,rock,crack
1,weddell,crack
2,weddell,crack
3,marching-emperor,crack
4,crack,crack
5,crack,crack
6,glacier,crack
7,weddell,crack
0,glacier,crack
1,weddell,crack
2,marching-emperor,crack
3,crack,crack
4,rock,crack
5,marching-emperor,crack
6,crack,crack
7,pack-ice,crack
0,crack,crack
1,glacier,crack
2,glacier,crack
3,glacier,crack
4,crack,crack
5,glacier,crack
6,weddell,crack
7,crack,crack
0,ice-sheet,crack
1,crack,crack
2,glacier,crack
3,ice-sheet,crack
4,pack-ice,crack
5,ice-sheet,crack
6,crack,crack
7,marching-emperor,crack
0,crack,crack
1,glacier,crack
2,glacier,crack
3,glacier,crack
4,crack,crack
5,crack,crack
6,crack,crack
7,rock,crack
0,crack,crack
1,crack,crack
2,crack,crack
3,marching-emperor,crack
4,other,crack
5,crack,crack
6,ice-sheet,crack
7,crack,crack
0,crack,crack
1,crack,crack
2,weddell,crack
3,crack,crack
4,ice-sheet,crack
5,crack,crack
6,pack-ice,crack
7,glacier,crack
0,pack-ice,crack
1,ice-sheet,crack
2,weddell,crack
3,glacier,crack
4,crack,crack
5,crack,crack
6,glacier,crack
7,crack,crack
0,ice-sheet,crack
1,glacier,crack
2,pack-ice,crack
3,crack,crack
4,glacier,crack
5,rock,crack
6,ice-sheet,crack
7,marching-emperor,crack
0,emperor,crack
1,crack,crack
2,crack,crack
3,crack,crack
4,weddell,crack
5,crack,crack
6,pack-ice,crack
7,crack,crack
0,glacier,crack
1,marching-emperor,crack
2,glacier,crack
3,crack,crack
4,crack,crack
5,glacier,crack
6,ice-sheet,crack
7,crack,crack
0,glacier,crack
1,glacier,crack
2,rock,crack
3,crack,crack
4,ice-sheet,crack
5,marching-emperor,crack
6,pack-ice,crack
7,emperor,crack
0,marching-emperor,crack
1,pack-ice,crack
2,glacier,crack
3,weddell,crack
4,crack,crack
5,crack,crack
6,ice-sheet,crack
7,weddell,crack
0,ice-sheet,crack
1,weddell,crack
2,glacier,crack
3,ice-sheet,crack
4,glacier,crack
5,glacier,crack
6,crack,crack
7,crack,crack
0,glacier,crack
1,ice-sheet,crack
2,glacier,crack
3,ice-sheet,crack
4,emperor,crack
5,crack,crack
6,glacier,crack
7,crack,crack
0,crack,crack
1,glacier,crack
2,marching-emperor,crack
3,weddell,crack
4,pack-ice,crack
5,crack,crack
6,rock,crack
7,glacier,crack
0,ice-sheet,crack
1,crack,crack
2,crack,crack
3,glacier,crack
4,glacier,crack
5,glacier,crack
6,glacier,crack
7,weddell,crack
0,crack,crack
1,ice-sheet,crack
2,glacier,crack
3,glacier,crack
4,crack,crack
5,crack,crack
6,glacier,crack
7,crack,crack
0,crack,crack
1,crack,crack
2,pack-ice,crack
3,ice-sheet,crack
4,crack,crack
5,crack,crack
6,glacier,crack
7,rock,crack
0,glacier,crack
1,glacier,crack
2,glacier,crack
3,crack,crack
4,crack,crack
5,glacier,crack
6,glacier,crack
7,crack,crack
0,marching-emperor,crack
1,ice-sheet,crack
2,marching-emperor,crack
3,marching-emperor,crack
4,rock,crack
5,crack,crack
6,glacier,emperor
7,glacier,emperor
0,weddell,emperor
1,emperor,emperor
2,emperor,emperor
3,weddell,emperor
4,pack-ice,emperor
5,crack,emperor
6,pack-ice,emperor
7,pack-ice,emperor
0,glacier,glacier
1,glacier,glacier
2,glacier,glacier
3,rock,glacier
4,glacier,glacier
5,glacier,glacier
6,glacier,glacier
7,glacier,glacier
0,glacier,glacier
1,glacier,glacier
2,glacier,glacier
3,ice-sheet,glacier
4,glacier,glacier
5,weddell,glacier
6,glacier,glacier
7,marching-emperor,glacier
0,glacier,glacier
1,glacier,glacier
2,ice-sheet,glacier
3,glacier,glacier
4,marching-emperor,glacier
5,glacier,glacier
6,glacier,glacier
7,ice-sheet,glacier
0,glacier,glacier
1,marching-emperor,glacier
2,glacier,glacier
3,crack,glacier
4,glacier,glacier
5,weddell,glacier
6,glacier,glacier
7,ice-sheet,glacier
0,glacier,glacier
1,glacier,glacier
2,weddell,glacier
3,glacier,glacier
4,weddell,glacier
5,glacier,glacier
6,ice-sheet,glacier
7,ice-sheet,glacier
0,rock,glacier
1,crack,glacier
2,glacier,glacier
3,glacier,glacier
4,glacier,glacier
5,crack,glacier
6,crack,glacier
7,weddell,glacier
0,glacier,glacier
1,glacier,glacier
2,crack,glacier
3,ice-sheet,glacier
4,crack,glacier
5,glacier,glacier
6,glacier,glacier
7,marching-emperor,glacier
0,glacier,glacier
